Product - ERP Catalog Number,Primary DI Number,Description
1624W,8711428065510,3M(TM) Tegaderm(TM) Transparent Film Dressing Frame Style 1624W
1626W,30707387787357,"3M™ Tegaderm™ Transparent Film Dressing Frame Style, 1626W, 4 in x 4-3/4 in (10 cm x 12 cm), 50/ct 4ct/Case"
1533-2,30707387066025,3M™ Micropore™ Tape Tan 1533-2
1527-1,30707387065950,3M(TM) TRANSPORE SURGICAL TAPE 1527-1
1582,7290013385932,No Description
1533-1,10805360017272,No Description
3343,616784334318,"Sterile Surgical Sponges, 4""x4"", 12-ply, 2's, All Gauze"
1658R,No Primary DI Number found,No description found
3582,8711428086881,3M(TM) Tegaderm(TM) +Pad Film Dressing with Non-Adherent Pad 3582
3586,616784358635,No Description
J82002,No Primary DI Number found,No description found
1492V,30707387762965,3M™ Attest™ Super Rapid Readout Biological Indicator for Vacuum-Assisted Steam Sterilizer Cycles 1492V
1243A,817617028897,IV Start Kit w/ Veni-Gard Kit
1233LF,30707387584154,3M™ Comply™ Bowie-Dick Test Pack 1233LF
9939,No Primary DI Number found,No description found
9010i,No Primary DI Number found,No description found
8630,E23586300,VINTAGE LF OPAQUE 4g OM-SF
8610,889024303805,No Description
6650,30707387444403,3M™ Ioban™ 2 Antimicrobial Incise Drape 6650
7 01023 104025,7332747100457,PROCERA ABUTMENT TI NOBRPL NP
8635,889024304031,No Description
,5902729751971,"Nobel Active - Narrow platform - Connection: 3,0"
1530-1,4064035099688,"3M™ Micropore™ Tape, 1530-1"
1547,15060498451984,"#1547 IV Start Kit
Contents: (1) Tegaderm 1624W, (1) Transpore Tape 1527, (1) Tourniquet Latex-Free, (2) Alcohol Prep Pad, (1) Sponge 2x2 2/Pk, (1) Extension Set 8"", (1) Saline Flush 10mL"
3591,8711428086966,3M™ Tegaderm™ +Pad Film Dressing with Non-Adherent Pad 3591
CAT 1581,10888277796492,PACK VASCULAR ENDO LASER
3589,D86335890,"Sherlock Implant Analog, Nobel Replace Select 3.5 NP Compatible"
3593,8711428086980,3M™ Tegaderm™ +Pad Film Dressing with Non-Adherent Pad 3593
J82003,No Primary DI Number found,No description found
3590,D86335900,"Sherlock Implant Analog, Nobel Biocare Replace Select 4.3 RP Compatible"
1627,15060498451748,#1627 Cricothyrotomy Kit 6.0MM
1528-4,30707387019854,3M™ Microfoam™ Tape 1528-4
J82004,No Primary DI Number found,No description found
1530-0,4064035097783,"3M™ Micropore™ Tape, 1530-0"
1538-1,4064035093297,"3M™ Durapore™ Surgical Tape 1538-1, 1 inch x 10 yard (2,5cm x 9,1m), 12 Rolls/Box"
INGRESA CODIGO FABRICANTE,No Primary DI Number found,No description found
MS04,50707387788297,"3M™ Synthetic Cast Stockinet, MS04, 4 inch x 25 yard (10.1cm x 22.8m), 1 Roll/Case"
R1546,707387804664,"3M™ Steri-Strip™ Reinforced Adhesive Skin Closures, R1546, 1/4 in x 4 in (6 mm x 100 mm), 10 Strips/Envelope"
R1547,M3687111,STETH BOWLES Y-TUBING         R1547:R1599
1610,889795121332,"Additive Orthopaedics Cotton Wedge Trial, 16-10"
1633mx,No Primary DI Number found,No description found
2015-0090,816784020451,ACCURUN 155 Series 2000 Anti-Treponema (Syphilis) 3 x 2.0 mL
1251,842092108345,Preci-Clix 1251
R1541,707387804633,"3M™ Steri-Strip™ Reinforced Adhesive Skin Closures, R1541, 1/4 in x 3 in (6 mm x 75 mm), 3 Strips/Envelope"
CMW04,No Primary DI Number found,No description found
3646e,No Primary DI Number found,No description found
4100,3610520013571,PR 4100
1860,380740179021,TRANSFERRIN 1860 Tests
7.50E+12,5700574033828,SureFISH Xp11.22 123kb RD6
1294,733657218923,No Description
6617,30707387444342,"6617 IOBAN II PATIENT ISOLATION DRAPE 5/BX,4BX/CS"
VT-0201-01 MCA 3M,869164000000,No Description
J82005,No Primary DI Number found,No description found
1863,816864020326,Sonigel 1863 (1 x 1 gallon)
4570M,5060038513120,Ambu White Sensor 4570M Electrode with wet gel and foam backing Center snap and PVC free. For short-term monitoring pediatric. Packing: 30 pouch/300 inner box/ 3000 carton
6.08E+11,8806383570206,"""An absorbent paper points is an endodontic paper point 
that is used during the endodontic therapy to dry, 
or remove any foreign materials from the root canal of a tooth."""
1533-0,30707387794423,"3M™ Micropore™ Surgical Tape Tan 1533-0, 1/2 inch x 10 yard (1,25cm x 9,1m), 24 rolls/box"
10619-315,No Primary DI Number found,No description found
10627-040,No Primary DI Number found,No description found
10626-050,No Primary DI Number found,No description found
10627-035,No Primary DI Number found,No description found
10629-008,No Primary DI Number found,No description found
7423-18,4042409234262,"Twist drill Ã¸2.3, L 180, coil 50, quick coupling"
7427-15,4042409148316,"Twist drill Ã¸2.7, L 150, coil 50, quick coupling"
SK,8800039378376,No Description
SK3526-14-2,No Primary DI Number found,No description found
PK,886874111055,"PK INSTRUMENT CORD, PK/SP GENERATOR"
